Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Serious,Tested,Active Cases,Date
Singapore,16169,528,15.0,1,1244.0,22.0,143919.0,14910.0,2020-05-01
Chile,16023,1138,227.0,11,8580.0,392.0,180517.0,7216.0,2020-05-01
Israel,15946,112,222.0,7,8561.0,105.0,364467.0,7163.0,2020-05-01
Austria,15452,50,584.0,4,12907.0,128.0,256399.0,1961.0,2020-05-01
Japan,14088,193,430.0,17,2460.0,308.0,165609.0,11198.0,2020-05-01
Belarus,14027,846,89.0,5,2386.0,92.0,176625.0,11552.0,2020-05-01
Qatar,13409,845,10.0,0,1372.0,72.0,94500.0,12027.0,2020-05-01
Poland,12877,237,644.0,20,3236.0,160.0,338027.0,8997.0,2020-05-01
UAE,12481,552,105.0,7,2429.0,1.0,1122000.0,9947.0,2020-05-01
Romania,12240,262,717.0,24,4017.0,221.0,175374.0,7506.0,2020-05-01
S. Korea,10765,4,247.0,1,9059.0,55.0,619881.0,1459.0,2020-05-01
Ukraine,10406,540,261.0,11,1238.0,138.0,111859.0,8907.0,2020-05-01
Indonesia,10118,347,792.0,8,1522.0,0.0,94599.0,7804.0,2020-05-01
Denmark,9158,150,452.0,9,6546.0,62.0,193165.0,2160.0,2020-05-01
Serbia,9009,285,179.0,6,1343.0,71.0,85645.0,7487.0,2020-05-01
Philippines,8488,276,568.0,10,1043.0,31.0,104146.0,6877.0,2020-05-01
Norway,7738,28,210.0,3,32.0,37.0,172586.0,7496.0,2020-05-01
Czechia,7682,103,236.0,9,3314.0,68.0,242088.0,4132.0,2020-05-01
Bangladesh,7667,564,168.0,5,160.0,1.0,64666.0,7339.0,2020-05-01
Dominican Republic,6972,320,301.0,8,1301.0,144.0,25368.0,5370.0,2020-05-01
Australia,6754,8,92.0,3,5715.0,34.0,563641.0,947.0,2020-05-01
Colombia,6507,300,293.0,15,1439.0,118.0,104657.0,4775.0,2020-05-01
Panama,6378,178,178.0,2,527.0,92.0,29837.0,5673.0,2020-05-01
Malaysia,6002,57,102.0,2,4171.0,40.0,160296.0,1729.0,2020-05-01
South Africa,5647,297,103.0,0,2073.0,36.0,207530.0,3471.0,2020-05-01
Egypt,5537,269,392.0,12,1381.0,0.0,90000.0,3764.0,2020-05-01
Finland,4995,89,211.0,5,3000.0,48.0,93900.0,1784.0,2020-05-01
Argentina,4428,143,218.0,4,1256.0,157.0,58685.0,2954.0,2020-05-01
Morocco,4423,102,170.0,2,984.0,1.0,34841.0,3269.0,2020-05-01
Kuwait,4024,284,26.0,2,1539.0,66.0,179000.0,2459.0,2020-05-01
Algeria,4006,158,450.0,6,1779.0,22.0,6500.0,1777.0,2020-05-01
Moldova,3897,126,116.0,5,1182.0,237.0,11763.0,2599.0,2020-05-01
Luxembourg,3784,15,90.0,1,3213.0,23.0,42643.0,481.0,2020-05-01
Kazakhstan,3402,264,25.0,0,866.0,41.0,249527.0,2511.0,2020-05-01
Bahrain,3040,119,8.0,0,1500.0,1.0,129694.0,1532.0,2020-05-01
Thailand,2954,7,54.0,0,2687.0,61.0,178083.0,213.0,2020-05-01
Hungary,2775,48,312.0,12,581.0,54.0,72951.0,1882.0,2020-05-01
Greece,2591,15,140.0,1,1374.0,38.0,75170.0,1077.0,2020-05-01
Oman,2348,74,11.0,1,495.0,17.0,40459.0,1842.0,2020-05-01
