Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Serious,Tested,Active Cases,Date
Saint Pierre Miquelon,1,0,0.0,0,0.0,0.0,0.0,1.0,2020-05-05
Total:,3643271,79582,252241.0,4096,1194738.0,49639.0,0.0,2196292.0,2020-05-05
World,3724518,81247,258026.0,5786,1240705.0,49256.0,0.0,2225787.0,2020-05-06
China,82881,1,4633.0,0,77853.0,29.0,0.0,395.0,2020-05-06
USA,1237633,24798,72271.0,2350,200626.0,16179.0,7727811.0,964736.0,2020-05-06
Spain,250561,2260,25613.0,185,154718.0,2254.0,1932455.0,70230.0,2020-05-06
Italy,213013,1075,29315.0,236,85231.0,1427.0,2246666.0,98467.0,2020-05-06
UK,194990,4406,29427.0,693,0.0,1559.0,1383842.0,165219.0,2020-05-06
France,170551,1089,25531.0,330,52736.0,3430.0,1100228.0,92284.0,2020-05-06
Germany,167007,855,6993.0,0,135100.0,1937.0,2547052.0,24914.0,2020-05-06
Russia,155370,10102,1451.0,95,19865.0,2300.0,4460357.0,134054.0,2020-05-06
Turkey,129491,1832,3520.0,59,73285.0,1338.0,1204421.0,52686.0,2020-05-06
Brazil,114715,6449,7921.0,578,48221.0,8318.0,339552.0,58573.0,2020-05-06
Iran,99970,1323,6340.0,63,80475.0,2685.0,519543.0,13155.0,2020-05-06
Canada,62046,1274,4043.0,189,26993.0,502.0,940567.0,31010.0,2020-05-06
Peru,51189,3817,1444.0,100,15413.0,709.0,406579.0,34332.0,2020-05-06
Belgium,50509,242,8016.0,92,12441.0,646.0,456194.0,30052.0,2020-05-06
India,49400,2963,1693.0,127,14142.0,0.0,1191946.0,33565.0,2020-05-06
Netherlands,41087,317,5168.0,86,0.0,644.0,235909.0,35669.0,2020-05-06
Ecuador,31881,0,1569.0,0,3433.0,159.0,80171.0,26879.0,2020-05-06
Saudi Arabia,30251,1595,200.0,9,5431.0,143.0,376607.0,24620.0,2020-05-06
Switzerland,30009,28,1795.0,11,25400.0,121.0,286403.0,2814.0,2020-05-06
Portugal,25702,178,1074.0,11,1743.0,134.0,469435.0,22885.0,2020-05-06
Mexico,24905,1434,2271.0,117,15938.0,378.0,100041.0,6696.0,2020-05-06
Sweden,23216,495,2854.0,85,4074.0,435.0,148500.0,16288.0,2020-05-06
Pakistan,22049,1108,514.0,38,5801.0,111.0,222404.0,15734.0,2020-05-06
Chile,22016,1373,275.0,5,10710.0,470.0,222095.0,11031.0,2020-05-06
Ireland,21983,211,1339.0,20,13386.0,93.0,214761.0,7258.0,2020-05-06
Singapore,19410,632,18.0,0,1519.0,24.0,143919.0,17873.0,2020-05-06
Belarus,18350,861,107.0,4,3771.0,92.0,211369.0,14472.0,2020-05-06
Qatar,17142,951,12.0,0,1924.0,72.0,109762.0,15206.0,2020-05-06
Israel,16289,43,238.0,3,10465.0,89.0,417100.0,5586.0,2020-05-06
Austria,15650,29,606.0,6,13462.0,104.0,285883.0,1582.0,2020-05-06
Japan,15253,175,556.0,20,4496.0,308.0,186343.0,10201.0,2020-05-06
UAE,15192,462,146.0,9,3153.0,1.0,1200000.0,11893.0,2020-05-06
Poland,14431,425,716.0,18,4280.0,160.0,394270.0,9435.0,2020-05-06
Romania,13837,325,841.0,23,5454.0,244.0,205842.0,7542.0,2020-05-06
Ukraine,12697,366,316.0,13,1875.0,167.0,139759.0,10506.0,2020-05-06
Indonesia,12071,484,872.0,8,2197.0,0.0,121547.0,9002.0,2020-05-06
Bangladesh,10929,786,183.0,1,1403.0,1.0,93405.0,9343.0,2020-05-06
S. Korea,10804,3,254.0,2,9283.0,55.0,640237.0,1267.0,2020-05-06
Denmark,9821,151,503.0,10,7296.0,49.0,257738.0,2022.0,2020-05-06
Philippines,9684,199,637.0,14,1408.0,31.0,130889.0,7639.0,2020-05-06
Serbia,9677,120,200.0,3,1723.0,51.0,111278.0,7754.0,2020-05-06
Colombia,8613,640,378.0,20,2013.0,128.0,127105.0,6222.0,2020-05-06
Dominican Republic,8480,245,354.0,8,1905.0,144.0,33377.0,6221.0,2020-05-06
Norway,7955,51,215.0,1,32.0,27.0,189657.0,7708.0,2020-05-06
Czechia,7896,77,257.0,5,4006.0,59.0,269093.0,3633.0,2020-05-06
South Africa,7572,352,148.0,10,2746.0,36.0,268064.0,4678.0,2020-05-06
Panama,7387,190,203.0,3,726.0,93.0,35556.0,6458.0,2020-05-06
Egypt,7201,388,452.0,16,1730.0,0.0,90000.0,5019.0,2020-05-06
Australia,6849,24,96.0,1,5889.0,27.0,664756.0,864.0,2020-05-06
Malaysia,6383,30,106.0,1,4567.0,24.0,213220.0,1710.0,2020-05-06
Kuwait,5804,526,40.0,0,2032.0,90.0,196397.0,3732.0,2020-05-06
Finland,5412,85,246.0,6,3500.0,48.0,106300.0,1666.0,2020-05-06
Morocco,5219,166,181.0,2,1838.0,1.0,49570.0,3200.0,2020-05-06
Argentina,5020,133,264.0,4,1472.0,148.0,69718.0,3284.0,2020-05-06
Algeria,4838,190,470.0,5,2067.0,22.0,6500.0,2301.0,2020-05-06
Moldova,4363,115,136.0,4,1544.0,237.0,20447.0,2683.0,2020-05-06
Kazakhstan,4205,156,29.0,0,1279.0,40.0,320411.0,2897.0,2020-05-06
Luxembourg,3840,12,96.0,0,3412.0,22.0,49299.0,332.0,2020-05-06
Bahrain,3720,187,8.0,0,1762.0,1.0,155501.0,1950.0,2020-05-06
Afghanistan,3224,330,95.0,5,421.0,7.0,13076.0,2708.0,2020-05-06
Hungary,3065,30,363.0,12,709.0,55.0,85557.0,1993.0,2020-05-06
Thailand,2988,1,54.0,0,2747.0,61.0,227860.0,187.0,2020-05-06
Nigeria,2950,148,98.0,5,481.0,4.0,19512.0,2371.0,2020-05-06
Oman,2735,98,13.0,1,858.0,17.0,40459.0,1864.0,2020-05-06
Ghana,2719,0,18.0,0,294.0,4.0,129461.0,2407.0,2020-05-06
Greece,2642,10,146.0,0,1374.0,35.0,83750.0,1122.0,2020-05-06
Armenia,2619,112,40.0,1,1111.0,10.0,25846.0,1468.0,2020-05-06
Iraq,2431,85,102.0,4,1571.0,0.0,113484.0,758.0,2020-05-06
Uzbekistan,2207,18,10.0,0,1501.0,8.0,325000.0,696.0,2020-05-06
Croatia,2112,11,83.0,3,1560.0,14.0,39973.0,469.0,2020-05-06
Cameroon,2104,0,64.0,0,953.0,12.0,0.0,1087.0,2020-05-06
Azerbaijan,2060,76,26.0,0,1508.0,18.0,164481.0,526.0,2020-05-06
Bosnia and Herzegovina,1946,20,79.0,1,911.0,4.0,35296.0,956.0,2020-05-06
Guinea,1811,101,10.0,1,498.0,0.0,0.0,1303.0,2020-05-06
Iceland,1799,0,10.0,0,1733.0,0.0,51345.0,56.0,2020-05-06
Estonia,1711,8,55.0,0,261.0,6.0,57423.0,1395.0,2020-05-06
Bulgaria,1704,52,80.0,2,342.0,37.0,50303.0,1282.0,2020-05-06
Cuba,1685,17,69.0,0,954.0,8.0,57711.0,662.0,2020-05-06
Bolivia,1681,87,82.0,6,174.0,3.0,7651.0,1425.0,2020-05-06
North Macedonia,1526,8,86.0,1,1013.0,21.0,17359.0,427.0,2020-05-06
New Zealand,1486,0,20.0,0,1302.0,0.0,155928.0,164.0,2020-05-06
Ivory Coast,1464,32,18.0,1,701.0,0.0,11448.0,745.0,2020-05-06
Slovenia,1445,6,98.0,1,244.0,17.0,57504.0,1103.0,2020-05-06
Lithuania,1423,4,46.0,0,678.0,17.0,149106.0,699.0,2020-05-06
Slovakia,1421,8,25.0,0,741.0,6.0,99864.0,655.0,2020-05-06
Senegal,1329,58,11.0,1,470.0,6.0,17787.0,848.0,2020-05-06
Honduras,1178,123,83.0,1,122.0,10.0,5243.0,973.0,2020-05-06
Djibouti,1120,4,2.0,0,745.0,0.0,14378.0,373.0,2020-05-06
Hong Kong,1041,0,4.0,0,920.0,1.0,154989.0,117.0,2020-05-06
Tunisia,1022,4,43.0,0,482.0,17.0,25165.0,497.0,2020-05-06
Latvia,896,0,17.0,1,348.0,4.0,66150.0,531.0,2020-05-06
Cyprus,878,4,15.0,0,296.0,15.0,66975.0,567.0,2020-05-06
Kyrgyzstan,843,13,11.0,1,600.0,13.0,56488.0,232.0,2020-05-06
Somalia,835,79,38.0,3,75.0,2.0,0.0,722.0,2020-05-06
Albania,820,17,31.0,0,570.0,7.0,9276.0,219.0,2020-05-06
Sudan,778,100,45.0,4,70.0,0.0,0.0,663.0,2020-05-06
Sri Lanka,771,20,9.0,1,213.0,1.0,26842.0,549.0,2020-05-06
Niger,763,8,38.0,1,543.0,0.0,5375.0,182.0,2020-05-06
Costa Rica,755,13,6.0,0,413.0,5.0,14121.0,336.0,2020-05-06
Andorra,751,1,46.0,1,514.0,16.0,1673.0,191.0,2020-05-06
Lebanon,741,1,25.0,0,206.0,43.0,42488.0,510.0,2020-05-06
Mayotte,739,53,9.0,3,352.0,6.0,3400.0,378.0,2020-05-06
Guatemala,730,27,19.0,2,79.0,5.0,7200.0,632.0,2020-05-06
Diamond Princess,712,0,13.0,0,645.0,4.0,0.0,54.0,2020-05-06
DRC,705,23,34.0,0,90.0,0.0,0.0,581.0,2020-05-06
Burkina Faso,688,16,48.0,2,548.0,0.0,0.0,92.0,2020-05-06
Uruguay,670,13,17.0,0,468.0,10.0,23811.0,185.0,2020-05-06
Mali,612,32,32.0,3,228.0,0.0,2172.0,352.0,2020-05-06
Georgia,604,11,9.0,0,240.0,6.0,20579.0,355.0,2020-05-06
San Marino,589,7,41.0,0,92.0,5.0,2538.0,456.0,2020-05-06
El Salvador,587,32,13.0,0,201.0,3.0,30387.0,373.0,2020-05-06
Maldives,573,32,1.0,0,20.0,2.0,9863.0,552.0,2020-05-06
Channel Islands,545,1,40.0,0,406.0,0.0,5342.0,99.0,2020-05-06
Kenya,535,45,24.0,0,182.0,2.0,24784.0,329.0,2020-05-06
Malta,482,2,5.0,1,403.0,1.0,36945.0,74.0,2020-05-06
Tanzania,480,0,16.0,0,167.0,7.0,0.0,297.0,2020-05-06
Jamaica,471,2,9.0,0,49.0,2.0,5830.0,413.0,2020-05-06
Jordan,471,6,9.0,0,375.0,5.0,91666.0,87.0,2020-05-06
Taiwan,438,0,6.0,0,334.0,0.0,64958.0,98.0,2020-05-06
Paraguay,431,35,10.0,0,135.0,7.0,11913.0,286.0,2020-05-06
Réunion,424,0,0.0,0,300.0,2.0,0.0,124.0,2020-05-06
Guinea-Bissau,413,0,1.0,0,19.0,0.0,1500.0,393.0,2020-05-06
Gabon,397,30,6.0,0,93.0,1.0,724.0,298.0,2020-05-06
Palestine,371,9,2.0,0,127.0,0.0,32200.0,242.0,2020-05-06
Venezuela,361,4,10.0,0,158.0,1.0,482953.0,193.0,2020-05-06
Mauritius,332,0,10.0,0,319.0,3.0,18959.0,3.0,2020-05-06
Isle of Man,326,1,23.0,0,271.0,19.0,3459.0,32.0,2020-05-06
Montenegro,324,1,8.0,0,253.0,2.0,7816.0,63.0,2020-05-06
Equatorial Guinea,315,0,3.0,0,13.0,0.0,854.0,299.0,2020-05-06
Tajikistan,293,63,5.0,2,0.0,0.0,0.0,288.0,2020-05-06
Vietnam,271,0,0.0,0,232.0,8.0,261004.0,39.0,2020-05-06
Rwanda,261,0,0.0,0,129.0,0.0,35992.0,132.0,2020-05-06
Congo,236,0,10.0,0,26.0,0.0,0.0,200.0,2020-05-06
Sierra Leone,199,21,11.0,2,43.0,0.0,0.0,145.0,2020-05-06
Faeroe Islands,187,0,0.0,0,185.0,0.0,8157.0,2.0,2020-05-06
Cabo Verde,186,11,2.0,0,37.0,0.0,791.0,147.0,2020-05-06
Martinique,181,0,14.0,0,83.0,5.0,0.0,84.0,2020-05-06
Sao Tome and Principe,174,151,3.0,0,4.0,0.0,175.0,167.0,2020-05-06
Liberia,170,4,20.0,2,58.0,0.0,0.0,92.0,2020-05-06
Chad,170,53,17.0,7,43.0,0.0,0.0,110.0,2020-05-06
Myanmar,161,0,6.0,0,49.0,0.0,9037.0,106.0,2020-05-06
Guadeloupe,152,0,12.0,0,98.0,5.0,0.0,42.0,2020-05-06
Madagascar,151,2,0.0,0,101.0,1.0,3861.0,50.0,2020-05-06
Ethiopia,145,5,4.0,1,91.0,0.0,25135.0,50.0,2020-05-06
Gibraltar,144,0,0.0,0,133.0,0.0,2931.0,11.0,2020-05-06
Zambia,138,1,3.0,0,92.0,1.0,7277.0,43.0,2020-05-06
Brunei,138,0,1.0,0,131.0,2.0,14610.0,6.0,2020-05-06
French Guiana,133,0,1.0,0,100.0,2.0,0.0,32.0,2020-05-06
Togo,128,2,9.0,0,74.0,0.0,7896.0,45.0,2020-05-06
Cambodia,122,0,0.0,0,120.0,1.0,12461.0,2.0,2020-05-06
Eswatini,119,3,1.0,0,12.0,0.0,714.0,106.0,2020-05-06
Trinidad and Tobago,116,0,8.0,0,102.0,0.0,2071.0,6.0,2020-05-06
Bermuda,115,0,7.0,0,54.0,4.0,3374.0,54.0,2020-05-06
Haiti,101,1,12.0,1,10.0,0.0,1037.0,79.0,2020-05-06
Aruba,101,1,2.0,0,82.0,4.0,1780.0,17.0,2020-05-06
Uganda,98,1,0.0,0,55.0,0.0,41478.0,43.0,2020-05-06
Benin,96,0,2.0,0,50.0,0.0,0.0,44.0,2020-05-06
Monaco,95,0,4.0,0,81.0,1.0,0.0,10.0,2020-05-06
Guyana,92,0,9.0,0,27.0,3.0,579.0,56.0,2020-05-06
Bahamas,89,6,11.0,0,26.0,1.0,1485.0,52.0,2020-05-06
CAR,85,0,0.0,0,10.0,0.0,3498.0,75.0,2020-05-06
Barbados,82,0,7.0,0,47.0,4.0,2549.0,28.0,2020-05-06
Liechtenstein,82,0,1.0,0,55.0,0.0,900.0,26.0,2020-05-06
Nepal,82,7,0.0,0,16.0,0.0,64492.0,66.0,2020-05-06
Mozambique,81,1,0.0,0,19.0,0.0,2867.0,62.0,2020-05-06
Sint Maarten,76,0,14.0,1,44.0,7.0,329.0,18.0,2020-05-06
Cayman Islands,75,0,1.0,0,14.0,3.0,2528.0,60.0,2020-05-06
Libya,63,0,3.0,0,23.0,0.0,2338.0,37.0,2020-05-06
French Polynesia,60,2,0.0,0,54.0,1.0,2697.0,6.0,2020-05-06
South Sudan,52,6,0.0,0,0.0,0.0,1247.0,52.0,2020-05-06
Macao,45,0,0.0,0,39.0,1.0,0.0,6.0,2020-05-06
Syria,44,0,3.0,0,27.0,0.0,0.0,14.0,2020-05-06
Malawi,41,0,3.0,0,9.0,1.0,907.0,29.0,2020-05-06
Mongolia,41,1,0.0,0,13.0,0.0,8889.0,28.0,2020-05-06
Eritrea,39,0,0.0,0,30.0,0.0,0.0,9.0,2020-05-06
Saint Martin,38,0,3.0,0,29.0,1.0,0.0,6.0,2020-05-06
Angola,36,1,2.0,0,11.0,0.0,3000.0,23.0,2020-05-06
Zimbabwe,34,0,4.0,0,5.0,0.0,7642.0,25.0,2020-05-06
Antigua and Barbuda,25,0,3.0,0,16.0,1.0,153.0,6.0,2020-05-06
Timor-Leste,24,0,0.0,0,20.0,0.0,664.0,4.0,2020-05-06
Botswana,23,0,1.0,0,8.0,0.0,8636.0,14.0,2020-05-06
Yemen,22,10,4.0,2,1.0,0.0,120.0,17.0,2020-05-06
Grenada,21,0,0.0,0,13.0,4.0,1406.0,8.0,2020-05-06
Laos,19,0,0.0,0,9.0,0.0,2418.0,10.0,2020-05-06
Belize,18,0,2.0,0,16.0,0.0,1043.0,0.0,2020-05-06
Fiji,18,0,0.0,0,14.0,0.0,1007.0,4.0,2020-05-06
New Caledonia,18,0,0.0,0,17.0,1.0,5052.0,1.0,2020-05-06
Saint Lucia,18,0,0.0,0,15.0,0.0,446.0,3.0,2020-05-06
Gambia,17,0,1.0,0,9.0,0.0,401.0,7.0,2020-05-06
St. Vincent Grenadines,17,0,0.0,0,9.0,0.0,137.0,8.0,2020-05-06
Nicaragua,16,1,5.0,0,7.0,0.0,0.0,4.0,2020-05-06
Curaçao,16,0,1.0,0,13.0,0.0,374.0,2.0,2020-05-06
Dominica,16,0,0.0,0,14.0,0.0,416.0,2.0,2020-05-06
Namibia,16,0,0.0,0,8.0,0.0,1122.0,8.0,2020-05-06
Burundi,15,0,1.0,0,7.0,0.0,284.0,7.0,2020-05-06
Saint Kitts and Nevis,15,0,0.0,0,12.0,0.0,318.0,3.0,2020-05-06
Falkland Islands,13,0,0.0,0,13.0,0.0,388.0,0.0,2020-05-06
Turks and Caicos,12,0,1.0,0,6.0,0.0,107.0,5.0,2020-05-06
Montserrat,11,0,1.0,0,7.0,1.0,36.0,3.0,2020-05-06
Greenland,11,0,0.0,0,11.0,0.0,1332.0,0.0,2020-05-06
Vatican City,11,0,0.0,0,2.0,0.0,0.0,9.0,2020-05-06
Seychelles,11,0,0.0,0,8.0,0.0,0.0,3.0,2020-05-06
Suriname,10,0,1.0,0,9.0,0.0,404.0,0.0,2020-05-06
MS Zaandam,9,0,2.0,0,0.0,0.0,0.0,7.0,2020-05-06
Mauritania,8,0,1.0,0,6.0,0.0,1032.0,1.0,2020-05-06
Papua New Guinea,8,0,0.0,0,8.0,0.0,2402.0,0.0,2020-05-06
British Virgin Islands,7,1,1.0,0,3.0,0.0,132.0,3.0,2020-05-06
Bhutan,7,0,0.0,0,5.0,0.0,11015.0,2.0,2020-05-06
Caribbean Netherlands,6,0,0.0,0,0.0,0.0,110.0,6.0,2020-05-06
St. Barth,6,0,0.0,0,6.0,0.0,0.0,0.0,2020-05-06
Western Sahara,6,0,0.0,0,5.0,0.0,0.0,1.0,2020-05-06
Anguilla,3,0,0.0,0,3.0,0.0,0.0,0.0,2020-05-06
Comoros,3,0,0.0,0,0.0,0.0,0.0,3.0,2020-05-06
Saint Pierre Miquelon,1,0,0.0,0,0.0,0.0,0.0,1.0,2020-05-06
Total:,3724518,81247,258026.0,5786,1240705.0,49256.0,0.0,2225787.0,2020-05-06
World,3817382,95325,264837.0,6811,1299261.0,48214.0,0.0,2253284.0,2020-05-07
China,82883,2,4633.0,0,77911.0,26.0,0.0,339.0,2020-05-07
USA,1263092,25459,74799.0,2528,212981.0,15827.0,8005435.0,975312.0,2020-05-07
Spain,253682,3121,25857.0,244,159359.0,2075.0,1932455.0,68466.0,2020-05-07
Italy,214457,1444,29684.0,369,93245.0,1333.0,2310929.0,91528.0,2020-05-07
UK,201101,6111,30076.0,649,0.0,1559.0,1448010.0,170681.0,2020-05-07
France,174191,3640,25809.0,278,53972.0,3147.0,1100228.0,94410.0,2020-05-07
Germany,168162,1155,7275.0,282,137696.0,1884.0,2755770.0,23191.0,2020-05-07
Russia,165929,10559,1537.0,86,21327.0,2300.0,4633731.0,143065.0,2020-05-07
Turkey,131744,2253,3584.0,64,78202.0,1278.0,1234724.0,49958.0,2020-05-07
Brazil,126611,11896,8588.0,667,51370.0,8318.0,339552.0,66653.0,2020-05-07
Iran,101650,1680,6418.0,78,81587.0,2735.0,531275.0,13645.0,2020-05-07
Canada,63496,1450,4232.0,189,28171.0,502.0,973558.0,31093.0,2020-05-07
Peru,54817,3628,1533.0,89,17527.0,717.0,429458.0,35757.0,2020-05-07
India,52987,3587,1785.0,92,15331.0,0.0,1276781.0,35871.0,2020-05-07
Belgium,50781,272,8339.0,323,12731.0,646.0,474176.0,29711.0,2020-05-07
Netherlands,41319,232,5204.0,36,0.0,628.0,243277.0,35865.0,2020-05-07
Saudi Arabia,31938,1687,209.0,9,6783.0,137.0,389659.0,24946.0,2020-05-07
Switzerland,30060,51,1805.0,10,25700.0,121.0,290365.0,2555.0,2020-05-07
Ecuador,29420,0,1618.0,49,3433.0,156.0,81392.0,24369.0,2020-05-07
Portugal,26182,480,1089.0,15,2076.0,136.0,470234.0,23017.0,2020-05-07
Mexico,26025,1120,2507.0,236,16810.0,378.0,105664.0,6708.0,2020-05-07
Sweden,23918,702,2941.0,87,4074.0,425.0,148500.0,16903.0,2020-05-07
Pakistan,23214,1165,544.0,30,6281.0,111.0,232582.0,16389.0,2020-05-07
Chile,23048,1032,281.0,6,11189.0,470.0,232108.0,11578.0,2020-05-07
Ireland,22248,265,1375.0,36,17110.0,93.0,214761.0,3763.0,2020-05-07
Singapore,20198,788,20.0,2,1634.0,23.0,175604.0,18544.0,2020-05-07
Belarus,19255,905,112.0,5,4388.0,92.0,220045.0,14755.0,2020-05-07
Qatar,17972,830,12.0,0,2070.0,72.0,112963.0,15890.0,2020-05-07
Israel,16310,21,239.0,1,10637.0,89.0,423125.0,5434.0,2020-05-07
UAE,15738,546,157.0,11,3359.0,1.0,1200000.0,12222.0,2020-05-07
Austria,15684,34,608.0,2,13639.0,97.0,292254.0,1437.0,2020-05-07
Japan,15253,0,556.0,0,4496.0,308.0,186343.0,10201.0,2020-05-07
Poland,14740,309,733.0,17,4655.0,160.0,410468.0,9352.0,2020-05-07
Romania,14107,270,864.0,23,5788.0,244.0,217139.0,7455.0,2020-05-07
Ukraine,13184,487,327.0,11,2097.0,169.0,144283.0,10760.0,2020-05-07
Indonesia,12438,367,895.0,23,2317.0,0.0,121547.0,9226.0,2020-05-07
Bangladesh,11719,790,186.0,3,1403.0,1.0,99646.0,10130.0,2020-05-07
S. Korea,10806,2,255.0,1,9333.0,55.0,643095.0,1218.0,2020-05-07
Philippines,10004,320,658.0,21,1506.0,31.0,140134.0,7840.0,2020-05-07
Denmark,9938,117,506.0,3,7493.0,46.0,270680.0,1939.0,2020-05-07
Serbia,9791,114,203.0,3,1971.0,48.0,117474.0,7617.0,2020-05-07
Colombia,8959,346,397.0,19,2148.0,123.0,131110.0,6414.0,2020-05-07
Dominican Republic,8807,327,362.0,8,1960.0,144.0,33377.0,6485.0,2020-05-07
Norway,7996,41,216.0,1,32.0,27.0,189657.0,7748.0,2020-05-07
Czechia,7974,78,262.0,5,4205.0,59.0,278519.0,3507.0,2020-05-07
South Africa,7808,236,153.0,5,3153.0,36.0,279379.0,4502.0,2020-05-07
Egypt,7588,387,469.0,17,1815.0,0.0,90000.0,5304.0,2020-05-07
Panama,7523,136,210.0,7,823.0,88.0,36483.0,6490.0,2020-05-07
Australia,6875,26,97.0,1,5984.0,27.0,688656.0,794.0,2020-05-07
Malaysia,6428,45,107.0,1,4702.0,22.0,222150.0,1619.0,2020-05-07
Kuwait,6289,485,42.0,2,2219.0,88.0,196397.0,4028.0,2020-05-07
Finland,5573,161,252.0,6,3500.0,44.0,108200.0,1821.0,2020-05-07
Morocco,5408,189,183.0,2,2017.0,1.0,52958.0,3208.0,2020-05-07
Argentina,5208,188,273.0,9,1524.0,148.0,72315.0,3411.0,2020-05-07
Algeria,4997,159,476.0,6,2197.0,22.0,6500.0,2324.0,2020-05-07
Moldova,4476,113,143.0,7,1658.0,237.0,20447.0,2675.0,2020-05-07
Kazakhstan,4422,217,30.0,1,1408.0,31.0,336480.0,2984.0,2020-05-07
Bahrain,3934,214,8.0,0,1860.0,4.0,160341.0,2066.0,2020-05-07
Luxembourg,3851,11,98.0,2,3452.0,20.0,50533.0,301.0,2020-05-07
Afghanistan,3392,168,104.0,9,458.0,7.0,13777.0,2830.0,2020-05-07
Nigeria,3145,195,103.0,5,534.0,4.0,21208.0,2508.0,2020-05-07
Hungary,3111,46,373.0,10,759.0,50.0,86743.0,1979.0,2020-05-07
Ghana,3091,372,18.0,0,294.0,4.0,129461.0,2779.0,2020-05-07
Thailand,2989,1,55.0,1,2761.0,61.0,227860.0,173.0,2020-05-07
Oman,2903,168,13.0,0,888.0,17.0,40459.0,2002.0,2020-05-07
Armenia,2782,163,40.0,0,1135.0,10.0,26929.0,1607.0,2020-05-07
Greece,2663,21,147.0,1,1374.0,36.0,87052.0,1142.0,2020-05-07
Iraq,2480,49,102.0,0,1602.0,0.0,117726.0,776.0,2020-05-07
Cameroon,2265,161,108.0,44,1000.0,12.0,0.0,1157.0,2020-05-07
Uzbekistan,2233,26,10.0,0,1577.0,8.0,325000.0,646.0,2020-05-07
Azerbaijan,2127,67,28.0,2,1536.0,18.0,169790.0,563.0,2020-05-07
Croatia,2119,7,85.0,2,1601.0,14.0,41053.0,433.0,2020-05-07
Bosnia and Herzegovina,1987,41,86.0,7,928.0,4.0,36492.0,973.0,2020-05-07
Guinea,1856,45,11.0,1,597.0,0.0,0.0,1248.0,2020-05-07
Bolivia,1802,121,86.0,4,187.0,3.0,7651.0,1529.0,2020-05-07
Iceland,1799,0,10.0,0,1750.0,0.0,51663.0,39.0,2020-05-07
Bulgaria,1778,74,84.0,4,360.0,38.0,51768.0,1334.0,2020-05-07
Estonia,1713,2,55.0,0,264.0,4.0,58955.0,1394.0,2020-05-07
Cuba,1703,18,69.0,0,1001.0,14.0,59648.0,633.0,2020-05-07
North Macedonia,1539,13,88.0,2,1057.0,21.0,17836.0,394.0,2020-05-07
Ivory Coast,1516,52,18.0,0,721.0,0.0,11448.0,777.0,2020-05-07
New Zealand,1488,2,21.0,1,1316.0,2.0,160700.0,151.0,2020-05-07
Slovenia,1448,3,99.0,1,246.0,14.0,58923.0,1103.0,2020-05-07
Senegal,1433,104,12.0,1,493.0,6.0,18969.0,928.0,2020-05-07
Slovakia,1429,8,25.0,0,762.0,4.0,104606.0,642.0,2020-05-07
Lithuania,1428,5,48.0,2,718.0,17.0,156493.0,662.0,2020-05-07
Honduras,1270,92,93.0,10,122.0,10.0,5653.0,1055.0,2020-05-07
Djibouti,1124,4,3.0,1,755.0,0.0,14538.0,366.0,2020-05-07
Hong Kong,1041,0,4.0,0,932.0,2.0,154989.0,105.0,2020-05-07
Tunisia,1025,3,43.0,0,591.0,18.0,25555.0,391.0,2020-05-07
Latvia,900,4,17.0,0,464.0,3.0,68627.0,419.0,2020-05-07
Cyprus,883,5,15.0,0,296.0,15.0,66975.0,572.0,2020-05-07
Somalia,873,38,39.0,1,87.0,2.0,0.0,747.0,2020-05-07
Kyrgyzstan,871,28,12.0,1,614.0,13.0,59490.0,245.0,2020-05-07
Sudan,852,74,49.0,4,80.0,0.0,0.0,723.0,2020-05-07
Albania,832,12,31.0,0,595.0,7.0,9531.0,206.0,2020-05-07
DRC,797,92,35.0,1,92.0,0.0,0.0,670.0,2020-05-07
Sri Lanka,797,26,9.0,0,215.0,1.0,29378.0,573.0,2020-05-07
Niger,770,7,38.0,0,561.0,0.0,5409.0,171.0,2020-05-07
Guatemala,763,33,19.0,0,79.0,5.0,7200.0,665.0,2020-05-07
Costa Rica,761,6,6.0,0,428.0,5.0,14448.0,327.0,2020-05-07
Andorra,751,0,46.0,0,521.0,15.0,1673.0,184.0,2020-05-07
Lebanon,750,9,25.0,0,206.0,43.0,44701.0,519.0,2020-05-07
Mayotte,739,0,9.0,0,352.0,6.0,3400.0,378.0,2020-05-07
Burkina Faso,729,41,48.0,0,555.0,0.0,0.0,126.0,2020-05-07
Diamond Princess,712,0,13.0,0,645.0,4.0,0.0,54.0,2020-05-07
Uruguay,673,3,17.0,0,486.0,10.0,24656.0,170.0,2020-05-07
El Salvador,633,46,15.0,2,219.0,4.0,33628.0,399.0,2020-05-07
Mali,631,19,32.0,0,261.0,0.0,2172.0,338.0,2020-05-07
Maldives,617,44,2.0,1,20.0,2.0,9863.0,595.0,2020-05-07
Georgia,610,6,9.0,0,269.0,6.0,20579.0,332.0,2020-05-07
San Marino,608,19,41.0,0,97.0,4.0,2660.0,470.0,2020-05-07
Kenya,582,47,26.0,2,190.0,1.0,25861.0,366.0,2020-05-07
Channel Islands,545,0,40.0,0,406.0,0.0,5342.0,99.0,2020-05-07
Malta,484,2,5.0,0,407.0,0.0,38337.0,72.0,2020-05-07
Tanzania,480,0,16.0,0,167.0,7.0,0.0,297.0,2020-05-07
Guinea-Bissau,475,62,2.0,1,24.0,0.0,1500.0,449.0,2020-05-07
Jamaica,473,2,9.0,0,56.0,0.0,5993.0,408.0,2020-05-07
