,index,lat,lon,country,deaths,recovered,serious,cases
157,157,14.5844444,29.4917691,Sudan,149,5560,0,3656
158,158,4.1413025,-56.0771187,Suriname,2,308,0,14
159,159,59.6749712,14.5208584,Sweden,3627,123151,29239,32177
160,160,46.7985624,8.2319736,Switzerland,2043,985955,13747,37146
161,161,34.6401861,39.0494106,Syria,1,949,0,122
162,162,23.59829785,120.83536313817521,Taiwan,6,12401,0,499
163,163,38.6281733,70.8156541,Tajikistan,47,8177,0,3266
164,164,-6.5247123,35.7878438,Tanzania,11,4943,189,155
165,165,14.8971921,100.83273,Thailand,72,103733,2975,3558
166,166,8.7800265,1.0199765,Togo,10,3354,0,413
167,168,10.8677845,-60.9821067,Trinidad and Tobago,10,2929,0,161
168,169,33.8439408,9.400138,Tunisia,65,19294,1918,1012
169,170,38.9597594,34.9249653,Turkey,3936,2628341,72077,154672
170,171,21.7214683,-71.6201783,Turks and Caicos,2,224,0,14
171,172,49.4871968,31.2718321,UAE,209,215747,66,28486
172,173,54.7023545,-3.2765753,UK,33429,4285,76299,256595
173,174,39.7837304,-100.4458825,USA,86514,8857463,729002,1626138
174,175,49.4871968,31.2718321,Ukraine,575,111424,6410,17829
175,176,-32.8755548,-56.0201525,Uruguay,22,19121,612,761
176,177,41.32373,63.9528098,Uzbekistan,9,54939,427,3522
177,178,8.0018709,-66.1109318,Venezuela,13,7998,222,1140
178,179,24.1797324,-13.7667848,Western Sahara,1,151,0,11
179,180,-41.289636,174.7757724,World,272907,53712211,2461742,4367544
180,181,16.3471243,47.8915271,Yemen,49,86,0,245
181,182,-14.5186239,27.5599164,Zambia,8,4952,42,851
182,183,-18.4554963,29.7468414,Zimbabwe,6,337,0,61
